DocID,TF-IDF,Okapi TF,BM25,Laplace,Jelinek-Mercer,Label
040-70,0,0,0,-243.01931841827147,-243.01931841827147,0
335-16,0,0,0,-151.88707401141966,-151.88707401141966,0
056-67,0,0,0,-243.01931841827147,-243.01931841827147,0
288-0,0,0,0,-202.51609868189288,-202.51609868189288,0
272-63,0,0,0,-415.15800229788,-415.15800229788,0
041-25,0,0,0,-101.25804934094644,-101.25804934094644,0
148-71,0,0,0,-283.52253815464996,-283.52253815464996,0
062-81,0,0,0,-141.761269077325,-141.761269077325,0
018-79,0,0,0,-162.0128789455143,-162.0128789455143,0
079-30,0,0,0,-141.761269077325,-141.761269077325,0
204-52,0,0,0,-111.38385427504109,-111.38385427504109,0
018-27,0,0,0,-162.0128789455143,-162.0128789455143,0
214-16,0,0,0,-334.15156282512305,-334.15156282512305,0
259-85,0,0,0,-243.01931841827147,-243.01931841827147,0
083-32,0,0,0,-81.00643947275715,-81.00643947275715,0
169-50,0,0,0,-202.51609868189288,-202.51609868189288,0
206-42,0,0,0,-394.90639242969075,-394.90639242969075,0
277-28,0,0,0,-141.761269077325,-141.761269077325,0
231-40,0,0,0,-111.38385427504109,-111.38385427504109,0
225-81,0,0,0,-182.2644888137036,-182.2644888137036,0
268-84,0,0,0,-141.761269077325,-141.761269077325,0
338-72,0,0,0,-172.13868387960895,-172.13868387960895,0
160-50,0,0,0,-50.629024670473214,-50.629024670473214,0
246-59,0,0,0,-232.89351348417682,-232.89351348417682,0
231-6,0,0,0,-111.38385427504109,-111.38385427504109,0
142-38,0,0,0,-151.88707401141966,-151.88707401141966,0
098-9,0,0,0,-151.88707401141966,-151.88707401141966,0
171-31,0,0,0,-182.2644888137036,-182.2644888137036,0
353-41,0,0,0,-151.88707401141966,-151.88707401141966,0
099-4,0,0,0,-263.27092828646073,-263.27092828646073,0
087-25,0,0,0,-192.39029374779824,-192.39029374779824,0
356-66,0,0,0,-101.25804934094644,-101.25804934094644,0
012-85,0,0,0,-324.02575789102843,-324.02575789102843,0
181-6,0,0,0,-172.13868387960895,-172.13868387960895,0
001-76,0,0,0,-151.88707401141966,-151.88707401141966,0
084-5,0,0,0,-232.89351348417682,-232.89351348417682,0
059-36,0,0,0,-111.38385427504109,-111.38385427504109,0
079-11,0,0,0,-141.761269077325,-141.761269077325,0
321-41,0,0,0,-232.89351348417682,-232.89351348417682,0
208-83,0,0,0,-172.13868387960895,-172.13868387960895,0
031-66,0,0,0,-172.13868387960895,-172.13868387960895,0
158-69,0,0,0,-121.50965920913573,-121.50965920913573,0
273-0,0,0,0,-101.25804934094644,-101.25804934094644,0
062-3,0,0,0,-141.761269077325,-141.761269077325,0
264-27,0,0,0,-151.88707401141966,-151.88707401141966,0
209-99,0,0,0,-232.89351348417682,-232.89351348417682,0
251-4,0,0,0,-151.88707401141966,-151.88707401141966,0
022-78,0,0,0,-192.39029374779824,-192.39029374779824,0
250-56,0,0,0,-101.25804934094644,-101.25804934094644,0
259-40,0,0,0,-243.01931841827147,-243.01931841827147,0
108-36,0,0,0,-172.13868387960895,-172.13868387960895,0
136-71,0,0,0,-232.89351348417682,-232.89351348417682,0
068-59,0,0,0,-91.1322444068518,-91.1322444068518,0
149-25,0,0,0,-172.13868387960895,-172.13868387960895,0
039-6,0,0,0,-162.0128789455143,-162.0128789455143,0
066-64,0,0,0,-91.1322444068518,-91.1322444068518,0
269-16,0,0,0,-121.50965920913573,-121.50965920913573,0
151801-32474,0.0,0.0,0.0,0,0,0
272-1,0,0,0,-415.15800229788,-415.15800229788,0
356-58,0,0,0,-101.25804934094644,-101.25804934094644,0
114-75,0,0,0,-253.1451233523661,-253.1451233523661,0
119-18,0,0,0,-243.01931841827147,-243.01931841827147,0
259-56,0,0,0,-243.01931841827147,-243.01931841827147,0
202-36,0,0,0,-50.629024670473214,-50.629024670473214,0
173-78,0,0,0,-243.01931841827147,-243.01931841827147,0
095-10,0,0,0,-192.39029374779824,-192.39029374779824,0
053-63,0,0,0,-101.25804934094644,-101.25804934094644,0
338-0,0,0,0,-172.13868387960895,-172.13868387960895,0
347-73,0,0,0,-162.0128789455143,-162.0128789455143,0
181-5,0,0,0,-172.13868387960895,-172.13868387960895,0
365-92,0,0,0,-162.0128789455143,-162.0128789455143,0
093-54,0,0,0,-263.27092828646073,-263.27092828646073,0
196-71,0,0,0,-212.64190361598753,-212.64190361598753,0
110-1,0,0,0,-121.50965920913573,-121.50965920913573,0
009-5,0,0,0,-101.25804934094644,-101.25804934094644,0
071-11,0,0,0,-162.0128789455143,-162.0128789455143,0
163-89,0,0,0,-162.0128789455143,-162.0128789455143,0
094-97,0,0,0,-222.76770855008218,-222.76770855008218,0
101-19,0,0,0,-232.89351348417682,-232.89351348417682,0
114-90,0,0,0,-253.1451233523661,-253.1451233523661,0
032-20,0,0,0,-222.76770855008218,-222.76770855008218,0
158-71,0,0,0,-121.50965920913573,-121.50965920913573,0
355-20,0,0,0,-91.1322444068518,-91.1322444068518,0
057-1,0,0,0,-121.50965920913573,-121.50965920913573,0
066-77,0,0,0,-91.1322444068518,-91.1322444068518,0
087-5,0,0,0,-192.39029374779824,-192.39029374779824,0
034-28,0,0,0,-232.89351348417682,-232.89351348417682,0
187-1,0,0,0,-212.64190361598753,-212.64190361598753,0
336-60,0,0,0,-182.2644888137036,-182.2644888137036,0
353-74,0,0,0,-151.88707401141966,-151.88707401141966,0
360-13,0,0,0,-263.27092828646073,-263.27092828646073,0
219-94,0,0,0,-151.88707401141966,-151.88707401141966,0
012-22,0,0,0,-324.02575789102843,-324.02575789102843,0
303-54,0,0,0,-141.761269077325,-141.761269077325,0
177-83,0,0,0,-192.39029374779824,-192.39029374779824,0
339-32,0,0,0,-263.27092828646073,-263.27092828646073,0
133-16,0,0,0,-202.51609868189288,-202.51609868189288,0
246-96,0,0,0,-232.89351348417682,-232.89351348417682,0
175-17,0,0,0,-243.01931841827147,-243.01931841827147,0
054-86,0,0,0,-192.39029374779824,-192.39029374779824,0
135-42,0,0,0,-222.76770855008218,-222.76770855008218,0
200-62,0,0,0,-192.39029374779824,-192.39029374779824,0
200-16,0,0,0,-192.39029374779824,-192.39029374779824,0
268-58,0,0,0,-141.761269077325,-141.761269077325,0
108-74,0,0,0,-172.13868387960895,-172.13868387960895,0
272-38,0,0,0,-415.15800229788,-415.15800229788,0
050-59,0,0,0,-192.39029374779824,-192.39029374779824,0
231-82,0,0,0,-111.38385427504109,-111.38385427504109,0
147-43,0,0,0,-222.76770855008218,-222.76770855008218,0
100-93,0,0,0,-121.50965920913573,-121.50965920913573,0
356-40,0,0,0,-101.25804934094644,-101.25804934094644,0
300-4,0,0,0,-111.38385427504109,-111.38385427504109,0
292-41,0,0,0,-222.76770855008218,-222.76770855008218,0
061-41,0,0,0,-121.50965920913573,-121.50965920913573,0
317-21,0,0,0,-131.63546414323037,-131.63546414323037,0
268-68,0,0,0,-141.761269077325,-141.761269077325,0
149-13,0,0,0,-172.13868387960895,-172.13868387960895,0
156-2,0,0,0,-50.629024670473214,-50.629024670473214,0
051-19,0,0,0,-222.76770855008218,-222.76770855008218,0
169-76,0,0,0,-202.51609868189288,-202.51609868189288,0
298-48,0,0,0,-263.27092828646073,-263.27092828646073,0
297-42,0,0,0,-273.39673322055535,-273.39673322055535,0
034-79,0,0,0,-232.89351348417682,-232.89351348417682,0
332-55,0,0,0,-243.01931841827147,-243.01931841827147,0
010-19,0,0,0,-141.761269077325,-141.761269077325,0
105-2,0,0,0,-283.52253815464996,-283.52253815464996,0
